continent,country,disaster_type,decade,avg_deaths
Africa,Algeria,Earthquakes,1910,12.0
Africa,Algeria,Flood,1920,3000.0
Africa,Algeria,Earthquakes,1940,276.0
Africa,Algeria,Earthquakes,1950,1250.0
Africa,Algeria,Flood,1950,25.0
Africa,Algeria,Earthquakes,1960,69.0
Africa,Algeria,Flood,1960,153.0
Africa,Algeria,Flood,1970,32.0
Africa,Algeria,Droughts,1980,0.0
Africa,Algeria,Earthquakes,1980,2686.0
Africa,Algeria,Flood,1980,160.0
Africa,Algeria,Storms,1980,0.0
Africa,Algeria,Earthquakes,1990,193.0
Africa,Algeria,Flood,1990,103.0
Africa,Algeria,Wildfires,1990,22.0
Africa,Algeria,Earthquakes,2000,2279.0
Africa,Algeria,Extreme_Temperatures,2000,40.0
Africa,Algeria,Flood,2000,1312.0
Africa,Algeria,Storms,2000,27.0
Africa,Algeria,Wildfires,2000,8.0
Africa,Algeria,Earthquakes,2010,6.0
Africa,Algeria,Extreme_Temperatures,2010,8.0
Africa,Algeria,Flood,2010,97.0
Africa,Algeria,Earthquakes,2020,0.0
Africa,Algeria,Flood,2020,21.0
Africa,Algeria,Wildfires,2020,168.0
Africa,Angola,Droughts,1980,0.0
Africa,Angola,Flood,1980,0.0
Africa,Angola,Droughts,1990,0.0
Africa,Angola,Droughts,2000,58.0
Africa,Angola,Flood,2000,328.0
Africa,Angola,Droughts,2010,0.0
Africa,Angola,Flood,2010,440.0
Africa,Angola,Droughts,2020,0.0
Africa,Angola,Flood,2020,141.0
Africa,Benin,Droughts,1970,0.0
Africa,Benin,Flood,1970,0.0
Africa,Benin,Wildfires,1970,2.0
Africa,Benin,Droughts,1980,0.0
Africa,Benin,Flood,1980,61.0
Africa,Benin,Wildfires,1980,0.0
Africa,Benin,Flood,1990,37.0
Africa,Benin,Flood,2000,35.0
Africa,Benin,Storms,2000,0.0
Africa,Benin,Flood,2010,50.0
Africa,Benin,Wildfires,2010,1.0
Africa,Benin,Flood,2020,63.0
Africa,Botswana,Droughts,1960,0.0
Africa,Botswana,Droughts,1970,0.0
Africa,Botswana,Flood,1970,0.0
Africa,Botswana,Droughts,1980,0.0
Africa,Botswana,Flood,1980,8.0
Africa,Botswana,Droughts,1990,0.0
Africa,Botswana,Flood,1990,20.0
Africa,Botswana,Flood,2000,3.0
Africa,Botswana,Storms,2000,0.0
Africa,Botswana,Droughts,2010,0.0
Africa,Botswana,Flood,2010,12.0
Africa,Burkina Faso,Droughts,1910,0.0
Africa,Burkina Faso,Droughts,1940,0.0
Africa,Burkina Faso,Droughts,1960,0.0
Africa,Burkina Faso,Droughts,1970,0.0
Africa,Burkina Faso,Flood,1970,0.0
Africa,Burkina Faso,Droughts,1980,0.0
Africa,Burkina Faso,Flood,1980,16.0
Africa,Burkina Faso,Droughts,1990,0.0
Africa,Burkina Faso,Flood,1990,28.0
Africa,Burkina Faso,Droughts,2000,0.0
Africa,Burkina Faso,Flood,2000,67.0
Africa,Burkina Faso,Droughts,2010,0.0
Africa,Burkina Faso,Flood,2010,61.0
Africa,Burkina Faso,Droughts,2020,0.0
Africa,Burkina Faso,Flood,2020,13.0
Africa,Burundi,Flood,1980,12.0
Africa,Burundi,Droughts,1990,0.0
Africa,Burundi,Storms,1990,0.0
Africa,Burundi,Droughts,2000,126.0
Africa,Burundi,Earthquakes,2000,3.0
Africa,Burundi,Flood,2000,36.0
Africa,Burundi,Storms,2000,0.0
Africa,Burundi,Droughts,2010,0.0
Africa,Burundi,Flood,2010,172.0
Africa,Burundi,Storms,2010,21.0
Africa,Burundi,Flood,2020,24.0
Africa,Burundi,Storms,2020,2.0
Africa,Cameroon,Droughts,1970,0.0
Africa,Cameroon,Flood,1980,2.0
Africa,Cameroon,Volcanoes,1980,1783.0
Africa,Cameroon,Droughts,1990,0.0
Africa,Cameroon,Flood,1990,32.0
Africa,Cameroon,Volcanoes,1990,0.0
Africa,Cameroon,Droughts,2000,0.0
Africa,Cameroon,Flood,2000,52.0
Africa,Cameroon,Droughts,2010,0.0
Africa,Cameroon,Flood,2010,45.0
Africa,Cameroon,Droughts,2020,0.0
Africa,Cameroon,Flood,2020,2.0
Africa,Cape Verde,Droughts,1900,11000.0
Africa,Cape Verde,Droughts,1910,0.0
Africa,Cape Verde,Droughts,1920,24000.0
Africa,Cape Verde,Droughts,1940,50000.0
Africa,Cape Verde,Droughts,1970,0.0
Africa,Cape Verde,Droughts,1980,0.0
Africa,Cape Verde,Storms,1980,32.0
Africa,Cape Verde,Droughts,1990,0.0
Africa,Cape Verde,Volcanoes,1990,0.0
Africa,Cape Verde,Droughts,2000,0.0
Africa,Cape Verde,Flood,2000,3.0
Africa,Cape Verde,Droughts,2010,0.0
Africa,Cape Verde,Storms,2010,9.0
Africa,Cape Verde,Volcanoes,2010,0.0
Africa,Cape Verde,Droughts,2020,0.0
Africa,Cape Verde,Flood,2020,1.0
Africa,Central African Republic,Flood,1970,0.0
Africa,Central African Republic,Droughts,1980,0.0
Africa,Central African Republic,Storms,1980,0.0
Africa,Central African Republic,Flood,1990,7.0
Africa,Central African Republic,Wildfires,1990,0.0
Africa,Central African Republic,Flood,2000,6.0
Africa,Central African Republic,Storms,2000,6.0
Africa,Central African Republic,Wildfires,2000,1.0
Africa,Central African Republic,Flood,2010,3.0
Africa,Central African Republic,Storms,2010,2.0
Africa,Central African Republic,Droughts,2020,0.0
Africa,Central African Republic,Flood,2020,16.0
Africa,Central African Republic,Storms,2020,0.0
Africa,Central African Republic,Wildfires,2020,0.0
Africa,Chad,Droughts,1910,0.0
Africa,Chad,Droughts,1940,0.0
Africa,Chad,Droughts,1960,0.0
Africa,Chad,Droughts,1970,0.0
Africa,Chad,Storms,1970,13.0
Africa,Chad,Droughts,1980,3000.0
Africa,Chad,Flood,1980,43.0
Africa,Chad,Storms,1980,11.0
Africa,Chad,Droughts,1990,0.0
Africa,Chad,Flood,1990,41.0
Africa,Chad,Droughts,2000,0.0
Africa,Chad,Flood,2000,173.0
Africa,Chad,Storms,2000,14.0
Africa,Chad,Droughts,2010,0.0
Africa,Chad,Flood,2010,44.0
Africa,Chad,Droughts,2020,0.0
Africa,Chad,Flood,2020,57.0
Africa,Comoros,Volcanoes,1900,17.0
Africa,Comoros,Storms,1950,500.0
Africa,Comoros,Volcanoes,1970,1.0
Africa,Comoros,Droughts,1980,0.0
Africa,Comoros,Storms,1980,59.0
Africa,Comoros,Volcanoes,1990,0.0
Africa,Comoros,Flood,2000,2.0
Africa,Comoros,Storms,2000,0.0
Africa,Comoros,Volcanoes,2000,1.0
Africa,Comoros,Earthquakes,2010,0.0
Africa,Comoros,Flood,2010,4.0
Africa,Comoros,Storms,2010,8.0
Africa,Cote d'Ivoire,Droughts,1980,0.0
Africa,Cote d'Ivoire,Flood,1980,0.0
Africa,Cote d'Ivoire,Flood,1990,28.0
Africa,Cote d'Ivoire,Flood,2000,6.0
Africa,Cote d'Ivoire,Flood,2010,147.0
Africa,Cote d'Ivoire,Flood,2020,37.0
Africa,Democratic Republic of the Congo,Earthquakes,1960,24.0
Africa,Democratic Republic of the Congo,Droughts,1970,0.0
Africa,Democratic Republic of the Congo,Volcanoes,1970,147.0
Africa,Democratic Republic of the Congo,Droughts,1980,0.0
Africa,Democratic Republic of the Congo,Earthquakes,1990,9.0
Africa,Democratic Republic of the Congo,Flood,1990,64.0
Africa,Democratic Republic of the Congo,Earthquakes,2000,17.0
Africa,Democratic Republic of the Congo,Flood,2000,139.0
Africa,Democratic Republic of the Congo,Storms,2000,49.0
Africa,Democratic Republic of the Congo,Volcanoes,2000,200.0
