Country,Decade,Total affected per 100k,GDP_pc,VulnerabilityScore
Vanuatu,2020,44057.50328,3159.21705,13945.703186173927
Somalia,2010,13620.97557,1286.91316,10584.222769157166
Somalia,2020,13909.73495,1394.70035,9973.278453683617
Malawi,1990,10377.39167,1124.97962,9224.515258329748
Mozambique,1990,4507.69926,580.081961,7770.797168436687
Central African Republic,2020,8530.457104000001,1134.401625,7519.785687895151
Somalia,2000,5468.501319999999,820.5665590000001,6664.299513575472
Niger,2000,8065.416059,1242.08063,6493.472214440701
Malawi,2000,7762.385849732,1251.2661899999998,6203.624705732679
Mozambique,2000,5214.6607803,958.575691,5440.009411108673
Tuvalu,2020,28093.216,5454.499675,5150.466160766615
Tajikistan,2000,9241.7881816,1891.0579700000003,4887.099352961664
Niger,2020,7414.2144,1655.55195,4478.394290194276
Niger,2010,6482.97505,1462.25853,4433.535463800645
Burundi,2000,4097.98025044,963.6583480000002,4252.523997685536
Liberia,1990,4553.705438,1112.84102,4091.9640417280807
Samoa,1990,16809.162,4115.64197,4084.2138656682037
Ethiopia,2000,3906.2693206138,971.496759,4020.8773569504006
Kiribati,1990,9621.001,2394.17628,4018.5015115094193
China,1990,10303.048321295002,2639.06124,3904.0580662292637
Malawi,2010,6103.514006400001,1583.93752,3853.3805338483303
Malawi,2020,5883.5079399999995,1663.107325,3537.6598079742084
Cambodia,1990,7281.5962,2080.06709,3500.6544909087525
Sao Tome and Principe,2020,19690.746,5662.2705750000005,3477.5353348422414
Mali,2020,8014.26894,2362.0929,3392.8677995687635
Haiti,2010,10688.54627,3380.1052900000004,3162.193290730301
Lesotho,2010,8819.723639,2872.85223,3070.023423724791
Bangladesh,1990,7052.303261100001,2327.94215,3029.415168714567
Tonga,2020,20503.33,6977.327133333333,2938.565099240916
Vanuatu,2010,9739.25133,3377.0254999999997,2883.9732865505457
Zimbabwe,2010,8817.766327,3255.73778,2708.377308875287
Afghanistan,2020,6015.7692213,2221.996725,2707.3708766604955
Marshall Islands,2020,17918.609,6688.52265,2679.0084952467046
Lesotho,2020,6726.925624,2558.8169749999997,2628.920196216848
Mozambique,2020,3853.69623,1477.915575,2607.52122461393
Kenya,2000,9941.8457,3858.08032,2576.8892494182187
Mauritania,2010,14728.134615,5878.51069,2505.419381146009
Cambodia,2000,6749.66591,2710.22903,2490.441152864487
Burkina Faso,1990,3004.3741800000003,1237.00612,2428.7464155795774
Burkina Faso,2020,5904.148090000001,2453.8720249999997,2406.0537916601425
Chad,2010,4858.8529,2043.36158,2377.8723000165246
Zimbabwe,2000,6955.9578200000005,2939.9294099999997,2366.0288564547545
Chad,2020,4008.9745,1712.162925,2341.467883379147
Zambia,2020,8023.50836,3538.3096,2267.610601401302
Somalia,1990,1604.8236,708.8593333333333,2263.9521334275064
Zambia,1990,4984.4699,2243.1056799999997,2222.1288744630174
Eswatini,2000,15731.763167,7081.94271,2221.3909108281955
Lesotho,2000,4924.441224,2252.07271,2186.626214213128
Ethiopia,1990,1702.39887,779.1317409999999,2184.99488650662
Ethiopia,2020,5309.024350000001,2628.9992,2019.4088876101598
Solomon Islands,2020,4943.1504,2521.375775,1960.4973003280325
Burkina Faso,2010,4006.26102,2116.24121,1893.1022612493211
Sudan,2020,5734.0298514,3062.874275,1872.107483549908
Honduras,2020,10741.5925733,6156.7835,1744.6760265810874
Sudan,1990,4919.935874500001,2930.51136,1678.8659964450712
Madagascar,2000,2806.881248,1673.3703699999999,1677.3819462334573
Comoros,2010,5590.07624,3390.38591,1648.8023453353721
Mozambique,2010,2300.5282500000003,1432.42781,1606.0343383028849
Bangladesh,2000,5135.646910699999,3239.1708200000003,1585.4819631587072
Comoros,2000,4835.876472,3084.36096,1567.8698228627559
Rwanda,2000,2106.3583912,1348.1752099999999,1562.3773346195858
Niger,1990,2030.90459,1300.21531,1561.9756007949175
Afghanistan,2010,4389.524544909999,2936.45936,1494.8357892172564
India,2000,5514.3025204469,3821.4253400000002,1442.996272287999
China,2000,8796.945767742302,6240.50822,1409.652140117252
Zambia,2000,3570.1573,2565.27428,1391.725371370425
Tonga,2010,8686.046,6275.9537,1384.0200892495432
Albania,1990,6615.1205230000005,4837.48438,1367.4711902635643
Mongolia,2000,10105.126394,7415.75631,1362.6562108538328
India,1990,3257.383844,2519.72677,1292.7528027175738
Lebanon,2020,15226.521,11860.654333333334,1283.784230791314
Philippines,2010,9828.197784,7659.211259999999,1283.1866690147938
Afghanistan,2000,2422.856586,1918.88103,1262.6403347163216
Guyana,1990,8533.8307,6807.658990000001,1253.5631870714487
Philippines,1990,5627.96758282,4496.90391,1251.5205340066962
Madagascar,2020,1870.9293399999997,1604.1145999999999,1166.3314703326057
Zimbabwe,1990,4699.566,4048.22975,1160.8940920410953
Vanuatu,2000,3672.84779,3179.09982,1155.3106218602472
Marshall Islands,2010,5590.545925,4854.07227,1151.722845074163
Mali,2010,2610.47401,2275.93996,1146.9872034761408
Chad,1990,1278.85641,1191.67982,1073.1543729590053
Madagascar,2010,1734.612394,1648.8772199999999,1051.9960934386613
Gambia,2010,2717.519175,2586.64032,1050.598010859121
Fiji,2020,12655.7705,12088.75125,1046.904699937473
Lesotho,1990,1756.0218645,1681.7376499999998,1044.1711074851657
Mauritania,2020,6287.800800000001,6027.943525,1043.1087773006302
Ethiopia,2010,1978.33727,1898.29676,1042.1643821380173
Honduras,1990,4565.328799999999,4394.93192,1038.7712217394255
Haiti,1990,3529.6945643,3404.87913,1036.6578164846633
Tuvalu,2010,4233.6636,4089.1978799999997,1035.328620487302
Philippines,2000,5460.7134675,5336.597479999999,1023.2575134184563
Guatemala,2020,11990.7349863,11867.939,1010.3468669918173
Chad,2000,1594.7937666500002,1613.2822899999999,988.5398088948217
Belize,2020,11533.762,11683.779999999999,987.1601485135805
Papua New Guinea,2010,3885.112877,3955.06087,982.3143068339174
Nicaragua,1990,4018.4840405,4203.8664,955.9019383917624
Solomon Islands,1990,2508.62548,2721.26156,921.8612120475477
Madagascar,1990,1584.918149,1729.6535499999998,916.3211609631306
Djibouti,2010,4711.012110000001,5145.201185714286,915.6128088985487
Namibia,2010,10279.798,11387.2543,902.7459762622497
Djibouti,2020,5447.0147,6051.333025,900.1346773506983
Cambodia,2010,4412.8408584,4929.86192,895.1246363508695
Solomon Islands,2010,2413.53041,2713.4567300000003,889.467071030095
Kyrgyzstan,2000,3747.726776,4221.008400000001,887.8747495503679
Dominica,2010,14256.07,16273.6247,876.0230288461795
Kenya,2010,3758.93343,4639.46666,810.2080918930453
Fiji,2010,9444.31959,11858.030999999999,796.4492241587158
Nepal,2010,2839.3083995,3716.6375399999997,763.9454665520061
Uganda,2000,1333.0692023,1792.2541,743.7947567256226
Mauritania,2000,3979.69864,5401.22484,736.8141038172371
Eswatini,2010,6288.3728018,9160.2183,686.4872207030263
